"RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"California",1,2.03125,2.0625,2,1.96507936507937,1.94444444444444,1.98837365591398,2,2.07286432160804,2.06782464846981,2.08012820512821,2.0750469043152,1.98333333333333,1.9475,1.97619047619048,2.13166666666667,2.1875,2.34117647058824,2.325,2.33935742971888,2.41020142949968,2.42075471698113,2.325,2.33333333333333,2.33026152197213,2.304531085353,2.32476635514019,2.275,2.30049261083744,2.4,2.36666666666667,2.36732026143791,2.32295081967213,2.30978260869565,2.35406606142554,2.30471183414344,2.32639926036555,2.22222222222222,2.38888888888889,2.43875,2.44444444444444,2.42857142857143,2.53435425685426,2.59,2.5,2.63979416809606,2.60489510489511,2.66666666666667,2.73912108908526,2.77945619335347,2.82506000318868,2.84749034749035,2.90677966101695,2.9571994004403,2.94444444444444,2.97608045066455,2.9875,3,3.06324337718508,3.06831534647277,3.075,3.04398050234657,3.06228373702422,3.16176470588235,3.15434782608696,3.25946833930705,3.30254777070064,3.29411764705882,3.29912023460411,3.28571428571429,3.25,3.26697892271663,3.17822017766497
"Texas",2,,,,,,1.13908166109253,1.21432584269663,1.14621686833766,1.06284340659341,1,1.00595238095238,1.0625,1.11594202898551,1.22242647058824,1.22471863468635,1.2687969924812,1.35698924731183,1.2725,1.4221824686941,1.39557116812664,1.36946428571429,1.38461538461538,1.37001805054152,1.28837212918474,1.36551724137931,1.32120595056281,1.32537878787879,1.3125,1.43448275862069,1.4329272058097,1.43508771929825,1.38416815742397,1.5,1.49462365591398,1.5,1.45161290322581,1.53541666666667,1.35714285714286,1.35714285714286,1.39083333333333,1.44955931125346,1.46604938271605,1.4875,1.56184210526316,1.5962441314554,1.63679497460572,1.55355366027008,1.58622152833562,1.58323728846117,1.56445672191529,1.53061224489796,1.54444444444444,1.55600698995194,1.54784240150094,1.57,1.63179916317992,1.6,1.61214285714286,1.61016949152542,1.6875,1.90874925727867,1.91208791208791,1.87906976744186,1.90505952380952,1.98572080291971,1.95902688860435,1.9685386772225,1.9165082382763,1.93493357487923,1.91082802547771,1.83601908891415,1.80124223602484
"Florida",3,,,,,,,,,,,,,,,,,,,,,,,,,1.5145732130465,1.49347887323944,1.34285714285714,1.36185897435897,1.43165467625899,1.4375,1.5,1.54891304347826,1.70092133238838,1.65382458738891,1.78735255570118,1.79640718562874,1.9375,2,1.88888888888889,1.81975736568458,1.81721056721057,1.77811550151976,1.93965517241379,1.96595887077148,1.88888888888889,1.95833333333333,2.14662332367053,2.08153732510646,2.01941778028735,2.08108108108108,2.08108108108108,2.12382075471698,2.14992945068846,2.10526315789474,2.17322314049587,2.26739640344019,2.30089514066496,2.3,2.25,2.28825192751751,2.26148409893993,2.26739640344019,2.24048192771084,2.25765765765766,2.28758169934641,2.26346226705585,2.24096385542169,2.25554872253592,2.3,2.24740484429066,2.26377406241689,2.30094990517756
"Illinois",4,,,,,,,,,,,2.31041666666667,2.29342327150084,2.30128205128205,2.30677966101695,2.26846100759144,2.20118652502837,2.17333333333333,2.19230769230769,2.36363636363636,2.33284742468416,2.34285714285714,2.4115759494831,2.42857142857143,2.37997233930453,2.36842105263158,2.41899441340782,2.44353201656292,2.55559852413496,2.56410256410256,2.59984662576687,2.63603603603604,2.62699822380107,2.6549815498155,2.61667845355964,2.64594400840845,2.59233590025669,2.56831683168317,2.59090909090909,2.57741098962714,2.55212355212355,2.5958904109589,2.63772954924875,2.70814814814815,2.79356060606061,2.86324786324786,2.71667744717551,2.85882352941176,2.7917811604949,2.65004440497336,2.52408799777221,2.65407080276373,2.81419132784696,2.71875,2.68128161888702,2.72823779193206,2.71781305114638,2.70591869458593,2.6,2.66666666666667,2.68235294117647,2.72177419354839,2.68578089261627,2.66070299087377,2.74164170714723,2.6260593220339,2.57142857142857,2.63069139966273,2.53448275862069,2.59640674394099,2.60295819161658,2.57010653654812,2.55681818181818
"Pennsylvania",5,,,,,,,,,,,,,,,,,,,,,,,,,1.33958333333333,1.25,1.3,1.2695652173913,1.45,1.50523560209424,1.66666666666667,1.59206790123457,1.52035997420627,1.4599358974359,1.43034825870647,1.5,1.66666666666667,1.61111111111111,1.5,1.47145647927068,1.54721030042918,1.61111111111111,1.74342105263158,1.7727166997762,1.75,1.66666666666667,1.6,1.6,1.58115671641791,1.58457711442786,1.625,1.75,1.8796992481203,1.97947214076246,2.24740361919748,2.26794871794872,2.1,1.92857142857143,1.8125,1.91987179487179,2.25108695652174,2.097209254072,2.26990400903444,2.24027255029202,2.23880597014925,2.44444444444444,2.40729813664596,2.146875,2.27941176470588,2.25757575757576,2.31366459627329,2.17136363636364
"New Jersey",6,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,2.33683217477656,2.43101182654402,2.5,2.74193548387097,2.45901639344262,2.2706228956229,2.2,2.21687638786084,2.33333333333333,2.35112028301887,2.34397677793904,2.66666666666667,2.66666666666667,2.58537544227493,2.6663827370812,2.66666666666667,2.71428571428571,2.73814847942755,2.85965568862275,2.75,2.65617530323413,2.56526922312736,2.62425468483816,2.35112028301887,2.36447258392068,2.5,2.58161560826191,2.49486652977413,2.66106442577031,2.59,2.57727706868108,2.44444444444444,2.33333333333333,2.31550925925926,2.375,2.65957446808511,2.62096774193548,2.81729428172943,3,3.08631921824104,3.06186224489796,3.06186224489796,2.91519434628975,2.875,2.83333333333333,2.875,2.68626059276466
"Virginia",7,,,,,,,,,,,,,,,,,,,,,2.42641509433962,2.39930166255566,2.48878177443888,2.50600343053173,2.4,2.42197634418379,2.5169527078566,2.5632183908046,2.63069139966273,2.60627177700348,2.53080612324798,2.54274993299384,2.38166666666667,2.37454851669981,2.45744680851064,2.37454851669981,2.24444444444444,2.19010596275629,2.31254118955433,2.31352459016393,2.34856687898089,2.46653719008264,2.51055743243243,2.61942675159236,2.57142857142857,2.62522522522523,2.67107438016529,2.537496526813,2.56222547584187,2.5467967967968,2.52738502099404,2.51826374446755,2.54868006304177,2.56409017713366,2.57470146087167,2.62157184845784,2.600135761361,2.62057578436889,2.56028368794326,2.48900098156833,2.55155482815057,2.55475619504396,2.56521739130435,2.5302969636303,2.52688338493292,2.55106382978723,2.52481508403485,2.55106382978723,2.51343075430512,2.52942887451665,2.60135135135135,2.56728896103896
"Washington",8,,,,,,,,,,,,,,,,1.78618198874296,1.87777777777778,1.88036697247706,1.92230262675178,1.93506493506494,1.92875905797101,1.93625498007968,1.92758602199957,2.02402575706953,2.08205128205128,1.98538205980066,1.94539249146758,1.94805194805195,2.07792207792208,1.94206050841389,2.00292825768668,2.05181623931624,2.10494752623688,2.1,2.13379073756432,2.1225,2.07293666026871,2.19666666666667,2.1633209382151,2.19957081545064,2.15532286212914,2.28925619834711,2.41666666666667,2.44524380495604,2.51625339945609,2.52631578947368,2.60961098398169,2.5,2.50095969289827,2.46195652173913,2.43825757575758,2.5253682487725,2.56088525835866,2.634,2.63975155279503,2.72709163346614,2.72382728220955,2.6875,2.71796187683284,2.70380434782609,2.7508389261745,2.7477657480315,2.74902723735409,2.83595113438045,2.82297551789077,2.8727634194831,2.93609671848014,2.97172771881776,2.91832669322709,2.93539325842697,2.93942273040003,2.84199584199584
"Indiana",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1.09682446912137,1.11731843575419,1.25150602409639,1.16302765647744,0.964285714285714,0.928832458770615,1.06275303643725,1.06275303643725,1.05625440989079,1.12424089068826,1.23111111111111,1.23111111111111,1.18666666666667,1.23111111111111,1.23111111111111,1.22549019607843,1.27555555555556,1.30888888888889,1.29603736479843,1.2543380183932,1.26811594202899,1.32047619047619
"Arizona",10,,,,,,,,,,,,,,,,,,,,1.15434782608696,1.14809723889556,1.21834813499112,1.22363636363636,1.18421052631579,1.166,1.14203454894434,1.14463840399003,1.17063994067353,1.18208955223881,1.17257973816417,1.125,1.13111111111111,1.125,1.12634408602151,1.08199510634293,1.10268954918033,1.09815048339639,1.12809209492378,1.12761276127613,1.1,1.08141010575793,1.1267834798747,1.16666666666667,1.16666666666667,1.16927083333333,1.1267834798747,1.1395652173913,1.16666666666667,1.1981981981982,1.20173563393902,1.1441647597254,1.16666666666667,1.13022113022113,1.1956688231856,1.2475,1.2475,1.20909090909091,1.22222222222222,1.20816098619075,1.28717171717172,1.47679324894515,1.42947368421053,1.46408858998145,1.48689956331878,1.45283018867925,1.46103238866397,1.44047619047619,1.4159891598916,1.46153846153846,1.44444444444444,1.48527349228612,1.5079006772009
"Missouri",11,,,,,,,,,,,,,,,,,1.10024449877751,1.10565110565111,1.12,1.12,1.12666666666667,1.15007012622721,1.11666666666667,1.10565110565111,1.09756097560976,1.08685968819599,1.08377192982456,1.0678391959799,1.08685968819599,1.09,1.11,1.15176151761518,1.13333333333333,1.08225108225108,0.917431192660551,1.06168305151396,1.1,1.09649122807018,1.08687258687259,1.15789473684211,1.15789473684211,1.17556014150943,1.27777777777778,1.27777777777778,1.27777777777778,1.27777777777778,1.1752045281583,1.12574061882818,1.03434684684685,1.13157894736842,1.17312072892939,1.15384615384615,1.17312072892939,1.15384615384615,1.18377192982456,1.25,1.23688155922039,1.20056497175141,1.32033441208198,1.30734632683658,1.22014925373134,1.20028248587571,1.31397849462366,1.27559523809524,1.35415730337079,1.36666666666667,1.33070500927644,1.3125,1.3760593220339,1.31395348837209,1.43333333333333,1.42247191011236
"Maryland",12,,,,,,,,,,,,,,,,,,,,,,,,,2.27204579528418,2.30684326710817,2.34250381828899,2.5,2.36255572065379,2.47978910369069,2.46815051647811,2.40031152647975,2.1652719665272,2.4125,2.06912323582342,2.17333333333333,2.3051282051282,2.52134485463721,2.58364312267658,2.60935241131334,2.6,2.6,2.55632833442005,2.5637804107425,2.5561797752809,2.48998664886515,2.44718309859155,2.45134228187919,2.46506550218341,2.50170648464164,2.36255572065379,2.45454545454545,2.44255319148936,2.36009732360097,2.4,2.39761092150171,2.38731679754615,2.42151675485009,2.39481268011527,2.29411764705882,2.33955289951306,2.32467576791809,2.42741935483871,2.44496026437957,2.48005430242272,2.52099102270727,2.46527777777778,2.55037794985251,2.53091253254059,2.53522370810632,2.43636363636364,2.37676056338028
"Minnesota",13,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.62158046121383,1.66165158371041,1.59848484848485,1.68832833583208,1.66176470588235,1.53482278481013,1.66176470588235,1.66527777777778,1.59030405405405,1.51515151515152,1.6025641025641,1.66828478964401,1.84071729957806,1.85714285714286,1.87382297551789,1.806640625,1.82968369829684,1.8125,1.87382297551789,1.84852941176471,1.75949367088608,1.6304347826087,1.7,1.67525773195876,1.68665667166417,1.8,1.83484798413748,1.8187998124707,1.86991869918699,1.84931506849315,1.84542655428731,1.85146361789677,1.88541666666667,1.94005867706383,1.9447966889021,1.94791666666667,1.93333333333333,1.94444444444444,1.95665155503559,1.95152243589744,1.76560235314179,1.88927738927739,1.96474526421702,2.0140873015873,2
"Colorado",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00764818355641,2.08400693996486,2.08055555555556,2.03928140096618,2.1319018404908,2.0732538330494,2.1346888290947,2.15613382899628,2.18978102189781,2.23529411764706,2.22316865417376,2.22316865417376,2.33487394957983,2.36888111888112,2.34117647058824,2.42811501597444,2.31460674157303,2.21943048576214
"Alabama",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.935416666666667,0.835030549898167,0.833333333333333,0.804887585532747,0.764546289339678,0.764546289339678,0.830645161290323,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.856,0.981526946107784,0.910224438902743,0.898025605278143,0.855555555555556,0.855555555555556,0.828333333333333,0.80625,0.815625,0.777777777777778,0.8,0.831666666666667,0.8,0.8125,0.833333333333333,0.849462365591398,0.882352941176471,0.921619047619048,0.882352941176471,0.882352941176471,1,0.984848484848485,0.872916666666667,0.925925925925926,0.916571428571429,0.944444444444444,0.937908496732026,0.937908496732026,0.863461538461539,0.973417111506524,0.983796296296296
"Oregon",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3921200750469,2.26146987802613,2.1537028052223,2.13073155826898,2.13073155826898,2.22727272727273,2.24708171206226,2.2005415737496,2.43585526315789,2.44339622641509,2.43133316595531,2.46349206349206,2.40487364620939,2.41563845050215,2.36420151040707,2.38679462867101,2.38382099827883,2.39918782159238,2.37335834896811,2.42690058479532,2.42673992673993,2.45579567779961,2.40976627357486,2.60479716785231,2.41007194244604
"Oklahoma",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.06609808102345,1.06609808102345,1.15740740740741,1.2,1.21187800963082,1.1724537037037,1.15740740740741,1.26805778491172,1.30818619582665,1.29166666666667,1.28250401284109,1.32952380952381,1.33904761904762,1.38309256286784,1.31238095238095,1.24879614767255,1.26966292134831,1.21187800963082,1.36115569823435
"New Mexico",18,,,,,,,,,,,,,,,,,,,,,,,,,,1.16459744168548,1.16252821670429,1.15384615384615,1.11125,1.12375,1.1541755888651,1.0125,1.18673285835214,1.16488222698073,1.06923076923077,1.03661499790532,1.16472442735467,1.1627988805344,1.13126410835214,1.1627988805344,1.16472442735467,1.16306954436451,1.16252821670429,1.10769230769231,1.28101503759399,1.27118644067797,1.25766871165644,1.25766871165644,1.25766871165644,1.27118644067797,1.25766871165644,1.3136288998358,1.27402745995423,1.27118644067797,1.2644275761672,1.27118644067797,1.32692307692308,1.3004217791411,1.28232967387795,1.27631578947368,1.31850165562914,1.27631578947368,1.2625,1.26647601846277,1.26363636363636,1.24637753406447,1.27375111507583,1.27631578947368,1.23700623700624,1.27118644067797,1.28346491843424,1.23653846153846
"Nebraska",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17943548387097,1.03550295857988,1.08172082776611,0.997481343283582,0.96696212731668,1.00746268656716,1.04562737642586,1.05852797392721,1.05852797392721,1.07812059735137,1.03587338970547,1.11929307805596,1.16666666666667,1.12280443376482,1.12280443376482,1.12631578947368,1.21495327102804,1.20967741935484,1.23846153846154,1.23305122297058,1.20104549486757,1.19439868204283,1.19439868204283,1.21857789142408,1.16758241758242,1.17624223602484,1.23129016351721,1.22741935483871
"District of Columbia",20,,,,,,,,,,,,,3.80952380952381,3.62549800796813,3.6475,3.52615422286856,3.49462365591398,3.52260149314712,3.50888888888889,3.50888888888889,3.50888888888889,3.52150537634409,3.5503096697893,3.502,3.51540616246499,3.61384677663579,3.67614879649891,3.6,3.64173228346457,3.6975,3.41495327102804,3.30065359477124,3.31291747468218,3.55731225296443,3.5,3.43625,3.4,3.38715277777778,3.3531746031746,3.2849911971831,3.3125,3.36,3.3125,3.3125,3.3125,3.34151308211288,3.37453173010818,3.25,3.36099692228225,3.46555323590814,3.48099283089343,3.42105263157895,3.4375,3.3923008868889,3.41940077466393,3.44827586206897,3.49333333333333,3.52863050058676,3.50205761316872,3.49514563106796,3.52290440145781,3.53285656207266,3.59281437125748,3.57492757847138,3.60440499333022,3.625,3.64390432098765,3.62886597938144,3.62756849315068,3.59297792425117,3.46556886227545,3.43869731800766
